Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,,Male,,Gender,,,,,Abia,,NGAB01,2.7
2021,,Male,,Gender,,,,,Adamawa,,NGAD02,4.1
2021,,Male,,Gender,,,,,Akwa Ibom,,NGAK03,3.8
2021,,Male,,Gender,,,,,Anambra,,NGAN04,0.1
2021,,Male,,Gender,,,,,Bauchi,,NGBA05,8.1
2021,,Male,,Gender,,,,,Bayelsa,,NGBY06,7.2
2021,,Male,,Gender,,,,,Benue,,NGBE07,1.2
2021,,Male,,Gender,,,,,Borno,,NGBO08,2.8
2021,,Male,,Gender,,,,,Cross River,,NGXR09,2.3
2021,,Male,,Gender,,,,,Delta,,NGDE10,6.1
2021,,Male,,Gender,,,,,Ebonyi,,NGEB11,17.1
2021,,Male,,Gender,,,,,Edo,,NGED12,3.8
2021,,Male,,Gender,,,,,Ekiti,,NGEK13,0.6
2021,,Male,,Gender,,,,,Enugu,,NGEN14,1.6
2021,,Male,,Gender,,,,,Gombe,,NGGO15,3.6
2021,,Male,,Gender,,,,,Imo,,NGIM16,0.2
2021,,Male,,Gender,,,,,Jigawa,,NGJI17,13.2
2021,,Male,,Gender,,,,,Kaduna,,NGKD18,1.7
2021,,Male,,Gender,,,,,Kano,,NGKN19,8.6
2021,,Male,,Gender,,,,,Katsina,,NGKT20,1.2
2021,,Male,,Gender,,,,,Kebbi,,NGKE21,24.0
2021,,Male,,Gender,,,,,Kogi,,NGKO22,6.3
2021,,Male,,Gender,,,,,Kwara,,NGKW23,5.2
2021,,Male,,Gender,,,,,Lagos,,NGLA24,0.0
2021,,Male,,Gender,,,,,Nasarawa,,NGNA25,1.3
2021,,Male,,Gender,,,,,Niger,,NGNI26,1.6
2021,,Male,,Gender,,,,,Ogun,,NGOG27,1.5
2021,,Male,,Gender,,,,,Ondo,,NGON28,0.3
2021,,Male,,Gender,,,,,Osun,,NGOS29,0.3
2021,,Male,,Gender,,,,,Oyo,,NGOY30,3.1
2021,,Male,,Gender,,,,,Plateau,,NGPL31,9.3
2021,,Male,,Gender,,,,,Rivers,,NGRI32,13.9
2021,,Male,,Gender,,,,,Sokoto,,NGSO33,0.6
2021,,Male,,Gender,,,,,Taraba,,NGTA34,5.0
2021,,Male,,Gender,,,,,Yobe,,NGYO35,18.1
2021,,Male,,Gender,,,,,Zamfara,,NGZA36,4.7
2021,,Male,,Gender,,,,,Federal Capital Territory,,NGFC37,7.9
2021,,Male,,Sexual orientation,,,,,,,NG,2.5
2021,,Male,Urban,Sexual orientation,,,,,,,NG,1.8
2021,,Male,Rural,Sexual orientation,,,,,,,NG,3.0
2021,,Male,,Sexual orientation,,,,,,15-19,NG,2.6
2021,,Male,,Sexual orientation,,,,,,15-17,NG,2.5
2021,,Male,,Sexual orientation,,,,,,18-19,NG,2.8
2021,,Male,,Sexual orientation,,,,,,20-24,NG,2.4
2021,,Male,,Sexual orientation,,,,,,25-29,NG,4.0
2021,,Male,,Sexual orientation,,,,,,30-34,NG,2.3
2021,,Male,,Sexual orientation,,,,,,35-39,NG,2.1
2021,,Male,,Sexual orientation,,,,,,40-44,NG,1.9
2021,,Male,,Sexual orientation,,,,,,45-49,NG,1.8
2021,,Male,,Sexual orientation,None,,,,,,NG,4.2
2021,,Male,,Sexual orientation,Primary,,,,,,NG,2.7
2021,,Male,,Sexual orientation,Junior secondary,,,,,,NG,2.0
