Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,40-44,,,,,,Percentage (%),NG,23.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,45-49,,,,,,Percentage (%),NG,23.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North Central,,,,Percentage (%),NGNCZ06,16.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North East,,,,Percentage (%),NGNEZ05,37.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,North West,,,,Percentage (%),NGNWZ04,47.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South East,,,,Percentage (%),NGSEZ03,2.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South South,,,,Percentage (%),NGSSZ02,14.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,South West,,,,Percentage (%),NGSWZ01,33.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,None,,,,,Percentage (%),NG,26.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Primary,,,,,Percentage (%),NG,15.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Secondary,,,,,Percentage (%),NG,15.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,Higher,,,,,Percentage (%),NG,34
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Lowest,,,Percentage (%),NG,21.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Second,,,Percentage (%),NG,21.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Middle,,,Percentage (%),NG,17.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Fourth,,,Percentage (%),NG,16.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,Highest,,,Percentage (%),NG,29.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Abia,,Percentage (%),NGAB01,12.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Adamawa,,Percentage (%),NGAD02,89.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Akwa Ibom,,Percentage (%),NGAK03,13.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Anambra,,Percentage (%),NGAN04,0.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Bauchi,,Percentage (%),NGBA05,30.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Bayelsa,,Percentage (%),NGBY06,14.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Benue,,Percentage (%),NGBE07,20.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Borno,,Percentage (%),NGBO08,-24.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Cross River,,Percentage (%),NGXR09,2.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Delta,,Percentage (%),NGDE10,11.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ebonyi,,Percentage (%),NGEB11,1.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Edo,,Percentage (%),NGED12,48.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Ekiti,,Percentage (%),NGEK13,11.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Enugu,,Percentage (%),NGEN14,0.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Gombe,,Percentage (%),NGGO15,49.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Imo,,Percentage (%),NGIM16,10.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Jigawa,,Percentage (%),NGJI17,33.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kaduna,,Percentage (%),NGKD18,32.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kano,,Percentage (%),NGKN19,67.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Katsina,,Percentage (%),NGKT20,43.5
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kebbi,,Percentage (%),NGKE21,36.7
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,Kogi,,Percentage (%),NGKO22,15.7
