Year,Series,Category of disaster effect,State,Unit multiplier,Units,GeoCode,Value
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Benue,Units,Number,NGBE07,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Borno,Units,Number,NGBO08,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Cross River,Units,Number,NGXR09,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Delta,Units,Number,NGDE10,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ebonyi,Units,Number,NGEB11,32
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Edo,Units,Number,NGED12,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Ekiti,Units,Number,NGEK13,0
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Enugu,Units,Number,NGEN14,60
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Gombe,Units,Number,NGGO15,6
2023,"Number of deaths, displaced persons and directly affected persons attributed to disasters",Deaths,Imo,Units,Number,NGIM16,1
